,Unnamed: 0,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
0,2017.01,0.7,0.4,0.6,0.8,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.6,0.6,0.5,0.7,0.5,0.3
1,2017.02,0.6,0.4,0.5,0.7,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.5,0.7,0.5,0.3
2,2017.03,0.6,0.4,0.5,0.7,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.6,0.5,0.3
3,2017.04,0.5,0.4,0.4,0.6,0.4,0.4,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.3
4,2017.05,0.4,0.4,0.4,0.5,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.3
5,2017.06,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.3
6,2017.07,0.4,0.3,0.3,0.5,0.3,0.3,0.6,0.4,0.4,0.3,0.3,0.4,0.5,0.4,0.5,0.4,0.3
7,2017.08,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.5,0.3,0.4
8,2017.09,0.5,0.3,0.4*,0.5,0.4,0.4,0.5,0.5,0.5,0.4*,0.4,0.5,0.5,0.5,0.5,0.4,0.3
9,2017.1,0.5,0.3,0.4*,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.2
10,2017.11,0.6,0.4,0.5,0.6,0.6,0.5,0.7,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.2
11,2017.12,0.7,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.3
12,2018.01,0.6,0.4,0.6,0.7,0.6,0.6,0.6,0.8,0.6,0.7,0.8,0.6,0.7,0.6,0.6,0.6,0.3
13,2018.02,0.6,0.4,0.5,0.6,0.6,0.5,0.6,0.7,0.6,0.7,0.7,0.5,0.6,0.5,0.6,0.5,0.3
14,2018.03,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.6,0.5,0.5,0.6,0.4,0.5,0.5,0.5,0.5,0.4
15,2018.04,0.5,0.3,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.3
16,2018.05,0.4,0.3,0.3,0.5,0.4,0.3,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.2
17,2018.06,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.2
18,2018.07,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.4,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.2
19,2018.08,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.2
20,2018.09,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.2
21,2018.1,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.4*,0.4,0.5,0.4,0.5,0.4,0.4,0.2
22,2018.11,0.7,0.4,0.6,0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.5,0.5,0.3
23,2018.12,0.6,0.4,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.3
24,2019.01,0.8,0.4,0.7,0.7,0.6,0.6,0.6,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.4
25,2019.02,0.7,0.4,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.5,0.5,0.4
26,2019.03,0.6,0.4,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.4,0.5,0.3
27,2019.04,0.5,0.4,0.4,0.5,0.4,0.3,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.3
28,2019.05,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.3
29,2019.06,0.4,0.4,0.4,0.4,0.4,0.3,0.5,0.5,0.4,0.3,0.3,0.5,0.3,0.5,0.4,0.4,0.2
