,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2017.01,0.0350,0.0240,0.0280,0.0270,0.0230,0.0240,0.0240,0.0270,0.0330,0.0220,0.0270,0.0230,0.0200,0.0160,0.0190,0.0230,0.0130
2017.02,0.0350,0.0210,0.0250,0.0260,0.0220,0.0230,0.0230,0.0250,0.0310,0.0200,0.0260,0.0210,0.0180,0.0160,0.0180,0.0210,0.0120
2017.03,0.0380,0.0220,0.0240,0.0300,0.0250,0.0210,0.0250,0.0240,0.0340,0.0190,0.0250,0.0220,0.0190,0.0190,0.0180,0.0230,0.0140
2017.04,0.0310,0.0210,0.0190,0.0250,0.0180,0.0160,0.0240,0.0180,0.0280,0.0140,0.0190,0.0170,0.0150,0.0160,0.0140,0.0200,0.0130
2017.05,0.0280,0.0210,0.0180,0.0220,0.0170,0.0150,0.0260,0.0150,0.0240,0.0140,0.0160,0.0140,0.0130,0.0140,0.0130,0.0210,0.0120
2017.06,0.0240,0.0180,0.0140,0.0180,0.0150,0.0140,0.0200,0.0140,0.0200,0.0130,0.0150,0.0140,0.0110,0.0130,0.0120,0.0170,0.0100
2017.07,0.0230,0.0170,0.0130,0.0180,0.0110,0.0110,0.0190,0.0120,0.0180,0.0110,0.0130,0.0090,0.0090,0.0100,0.0120,0.0140,0.0070
2017.08,0.0210,0.0130,0.0120,0.0190,0.0120,0.0120,0.0120,0.0130,0.0180,0.0090,0.0130,0.0110,0.0100,0.0100,0.0100,0.0120,0.007*
2017.09,0.0270,0.0170,0.017*,0.0220,0.0150,0.0160,0.0170,0.0200,0.0250,0.013*,0.0160,0.0140,0.0130,0.0120,0.0130,0.0160,0.0080
2017.10,0.0270,0.0160,0.018*,0.0220,0.0170,0.0180,0.0160,0.0220,0.0250,0.0150,0.0160,0.0150,0.0150,0.0120,0.0140,0.0140,0.0070
2017.11,0.0330,0.0250,0.0280,0.0260,0.0260,0.0230,0.0280,0.0210,0.0310,0.0220,0.0230,0.0170,0.0180,0.0180,0.0190,0.0240,0.0110
2017.12,0.0340,0.0230,0.0280,0.0310,0.0240,0.0240,0.0250,0.0250,0.0320,0.0230,0.0250,0.0190,0.0180,0.0170,0.0190,0.0230,0.0100
2018.01,0.0350,0.0220,0.0270,0.0290,0.0240,0.0260,0.0240,0.0280,0.0330,0.0230,0.0290,0.0220,0.0190,0.0160,0.0180,0.0220,0.0110
2018.02,0.0340,0.0220,0.0250,0.0270,0.0240,0.0280,0.0240,0.0250,0.0310,0.0200,0.0250,0.0200,0.0180,0.0170,0.0190,0.0230,0.0120
2018.03,0.0330,0.0210,0.0220,0.0290,0.0190,0.0220,0.0230,0.0190,0.0280,0.0180,0.0200,0.0160,0.0160,0.0150,0.0160,0.0200,0.0120
2018.04,0.0310,0.0190,0.0170,0.0270,0.0160,0.0170,0.0210,0.0150,0.0250,0.0140,0.0170,0.0140,0.0140,0.0130,0.0130,0.0180,0.0100
2018.05,0.0250,0.0180,0.0130,0.0230,0.0130,0.0140,0.0190,0.0130,0.0210,0.0130,0.0140,0.0110,0.0110,0.0110,0.0120,0.0160,0.0090
2018.06,0.0240,0.0190,0.0130,0.0220,0.0110,0.0140,0.0200,0.0140,0.0190,0.0120,0.0150,0.0100,0.0100,0.0110,0.0110,0.0160,0.0080
2018.07,0.0190,0.0160,0.0100,0.0170,0.0090,0.0110,0.0170,0.0110,0.0150,0.0100,0.0160,0.0080,0.0080,0.0080,0.0100,0.0130,0.0060
2018.08,0.0170,0.0120,0.0100,0.0160,0.0080,0.0110,0.0130,0.0080,0.0140,0.0100,0.0160,0.0090,0.0070,0.0080,0.0100,0.0120,0.0060
2018.09,0.0190,0.0140,0.0140,0.0190,0.0130,0.0120,0.0130,0.0120,0.0170,0.0100,0.0170,0.0110,0.0090,0.0100,0.0120,0.0120,0.0070
2018.10,0.0280,0.0190,0.0210,0.0260,0.0190,0.0200,0.0180,0.0210,0.0250,0.0150,0.0210,0.0160,0.0130,0.0130,0.0150,0.0170,0.0090
2018.11,0.0390,0.0270,0.0330,0.0350,0.0300,0.0300,0.0270,0.0310,0.0360,0.0220,0.0290,0.0230,0.0190,0.0200,0.0220,0.0270,0.0130
2018.12,0.0350,0.0230,0.0290,0.0300,0.0240,0.0280,0.0220,0.0260,0.0320,0.0200,0.0270,0.0210,0.0170,0.0160,0.0200,0.0220,0.0100
2019.01,0.0390,0.0240,0.0290,0.0320,0.0250,0.0290,0.0240,0.0240,0.0360,0.0200,0.0290,0.0220,0.0180,0.0150,0.0200,0.0210,0.0120
2019.02,0.0360,0.0220,0.0260,0.0290,0.0200,0.0270,0.0220,0.0210,0.0310,0.0150,0.0260,0.0190,0.0150,0.0150,0.0170,0.0190,0.0110
2019.03,0.0340,0.0200,0.0210,0.0280,0.0220,0.0230,0.0220,0.0220,0.0280,0.0140,0.0220,0.0170,0.0140,0.0130,0.0160,0.0180,0.0120
2019.04,0.0290,0.0190,0.0170,0.0260,0.0190,0.0180,0.0210,0.0180,0.0240,0.0110,0.0170,0.0140,0.0130,0.0120,0.0140,0.0160,0.0100
2019.05,0.0280,0.0210,0.0160,0.0230,0.0170,0.0170,0.0240,0.0180,0.0220,0.0100,0.0160,0.0120,0.0120,0.0110,0.0140,0.0160,0.0100
2019.06,0.0200,0.0160,0.0130,0.0170,0.0140,0.0130,0.0190,0.0150,0.0170,0.0080,0.0130,0.0100,0.0090,0.0090,0.0110,0.0140,0.0080
2019.07,0.0180,0.0150,0.0110,0.0150,0.0110,0.0110,0.0160,0.0120,0.0140,0.0070,0.0100,0.0080,0.0070,0.0070,0.0090,0.0120,0.0060
2019.08,0.0180,0.0140,0.0120,0.0150,0.0110,0.0110,0.0140,0.0130,0.0150,0.0070,0.0110,0.0080,0.0080,0.0070,0.0090,0.0120,0.0070
2019.09,0.0210,0.0150,0.0130,0.0210,0.0120,0.0130,0.0150,0.0150,0.0180,0.0070,0.0120,0.0100,0.0090,0.0080,0.0090,0.0120,0.0070
2019.10,0.0250,0.0170,0.0170,0.0230,0.0170,0.0180,0.0160,0.0190,0.0220,0.0090,0.0160,0.0130,0.0120,0.0090,0.0110,0.0140,0.0080
2019.11,0.0340,0.0230,0.0260,0.0310,0.0230,0.0250,0.0220,0.0260,0.0300,0.0150,0.0230,0.0170,0.0160,0.0130,0.0160,0.0200,0.0090
2019.12,0.0350,0.0260,0.0300,0.0310,0.0250,0.0280,0.0250,0.0290,0.0310,0.0170,0.0250,0.0180,0.0160,0.0150,0.0170,0.0230,0.0100
2020.01,0.0340,0.0210,0.0270,0.0280,0.0210,0.0260,0.0210,0.0270,0.0300,0.0150,0.0230,0.0190,0.0160,0.0130,0.0160,0.0190,0.0100
2020.02,0.0320,0.0200,0.0230,0.0270,0.0180,0.0230,0.0210,0.0240,0.0270,0.0130,0.0200,0.0170,0.0140,0.0120,0.0140,0.0180,0.0090
2020.03,0.0270,0.0160,0.0170,0.0230,0.0150,0.0180,0.0180,0.0190,0.0230,0.0110,0.0160,0.0140,0.0120,0.0100,0.0120,0.0150,0.0080
2020.04,0.0210,0.0140,0.0130,0.0170,0.0130,0.0140,0.0160,0.0140,0.0170,0.0090,0.0130,0.0110,0.0100,0.0090,0.0100,0.0120,0.0080
2020.05,0.0200,0.0140,0.0110,0.0170,0.0100,0.0110,0.0150,0.0120,0.0160,0.0070,0.0100,0.0090,0.0090,0.0080,0.0080,0.0110,0.0070
2020.06,0.0190,0.0150,0.0120,0.0160,0.0090,0.0120,0.0180,0.0120,0.0150,0.0070,0.0100,0.0090,0.0080,0.0080,0.0090,0.0110,0.0080
2020.07,0.0160,0.0140,0.0110,0.0140,0.0080,0.0100,0.0150,0.0100,0.0120,0.0060,0.0080,0.0090,0.0070,0.0070,0.0080,0.0110,0.0060
2020.08,0.0140,0.0110,0.0090,0.0120,0.0060,0.0100,0.0130,0.0090,0.0110,0.0060,0.0080,0.0070,0.0060,0.0060,0.0070,0.0090,0.0050
2020.09,0.0160,0.0120,0.0130,0.0150,0.0110,0.0120,0.0140,0.0120,0.0130,0.0060,0.0100,0.0090,0.0080,0.0080,0.0090,0.0100,0.0070
2020.10,0.0250,0.0170,0.0190,0.0210,0.0160,0.0210,0.0170,0.0200,0.0220,0.0100,0.0150,0.0140,0.0120,0.0100,0.0120,0.0140,0.0080
2020.11,0.0300,0.0200,0.0240,0.0270,0.0190,0.0240,0.0220,0.0240,0.0270,0.0140,0.0180,0.0170,0.0140,0.0130,0.0140,0.0180,0.0090
2020.12,0.0320,0.0200,0.0240,0.0270,0.0220,0.0270,0.0230,0.0250,0.0280,0.0160,0.0210,0.0180,0.0160,0.0140,0.0150,0.0200,0.0100
