,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2017.01,0.7,0.4,0.6,0.8,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.6,0.6,0.5,0.7,0.5,0.3
2017.02,0.6,0.4,0.5,0.7,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.5,0.7,0.5,0.3
2017.03,0.6,0.4,0.5,0.7,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.6,0.5,0.3
2017.04,0.5,0.4,0.4,0.6,0.4,0.4,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.3
2017.05,0.4,0.4,0.4,0.5,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.3
2017.06,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.3
2017.07,0.4,0.3,0.3,0.5,0.3,0.3,0.6,0.4,0.4,0.3,0.3,0.4,0.5,0.4,0.5,0.4,0.3
2017.08,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.5,0.3,0.4
2017.09,0.5,0.3,0.4*,0.5,0.4,0.4,0.5,0.5,0.5,0.4*,0.4,0.5,0.5,0.5,0.5,0.4,0.3
2017.10,0.5,0.3,0.4*,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.2
2017.11,0.6,0.4,0.5,0.6,0.6,0.5,0.7,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.2
2017.12,0.7,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.3
2018.01,0.6,0.4,0.6,0.7,0.6,0.6,0.6,0.8,0.6,0.7,0.8,0.6,0.7,0.6,0.6,0.6,0.3
2018.02,0.6,0.4,0.5,0.6,0.6,0.5,0.6,0.7,0.6,0.7,0.7,0.5,0.6,0.5,0.6,0.5,0.3
2018.03,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.6,0.5,0.5,0.6,0.4,0.5,0.5,0.5,0.5,0.4
2018.04,0.5,0.3,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.3
2018.05,0.4,0.3,0.3,0.5,0.4,0.3,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.2
2018.06,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.2
2018.07,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.4,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.2
2018.08,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.2
2018.09,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.2
2018.10,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.4*,0.4,0.5,0.4,0.5,0.4,0.4,0.2
2018.11,0.7,0.4,0.6,0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.5,0.5,0.3
2018.12,0.6,0.4,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.3
2019.01,0.8,0.4,0.7,0.7,0.6,0.6,0.6,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.4
2019.02,0.7,0.4,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.5,0.5,0.4
2019.03,0.6,0.4,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.4,0.5,0.3
2019.04,0.5,0.4,0.4,0.5,0.4,0.3,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.3
2019.05,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.3
2019.06,0.4,0.4,0.4,0.4,0.4,0.3,0.5,0.5,0.4,0.3,0.3,0.5,0.3,0.5,0.4,0.4,0.2
2019.07,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.3,0.4,0.2
2019.08,0.4,0.4,0.3,0.4,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.2
2019.09,0.4,0.3,0.3,0.5,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.3,0.4,0.2
2019.10,0.5,0.3,0.4,0.5,0.4,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.2
2019.11,0.6,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.3
2019.12,0.7,0.5,0.7,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.5,0.4,0.5,0.6,0.5,0.3
