,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2017.01,0.035,0.024,0.028,0.027,0.023,0.024,0.024,0.027,0.033,0.022,0.027,0.023,0.02,0.016,0.019,0.023,0.013
2017.02,0.035,0.021,0.025,0.026,0.022,0.023,0.023,0.025,0.031,0.02,0.026,0.021,0.018,0.016,0.018,0.021,0.012
2017.03,0.038,0.022,0.024,0.03,0.025,0.021,0.025,0.024,0.034,0.019,0.025,0.022,0.019,0.019,0.018,0.023,0.014
2017.04,0.031,0.021,0.019,0.025,0.018,0.016,0.024,0.018,0.028,0.014,0.019,0.017,0.015,0.016,0.014,0.02,0.013
2017.05,0.028,0.021,0.018,0.022,0.017,0.015,0.026,0.015,0.024,0.014,0.016,0.014,0.013,0.014,0.013,0.021,0.012
2017.06,0.024,0.018,0.014,0.018,0.015,0.014,0.02,0.014,0.02,0.013,0.015,0.014,0.011,0.013,0.012,0.017,0.01
2017.07,0.023,0.017,0.013,0.018,0.011,0.011,0.019,0.012,0.018,0.011,0.013,0.009,0.009,0.01,0.012,0.014,0.007
2017.08,0.021,0.013,0.012,0.019,0.012,0.012,0.012,0.013,0.018,0.009,0.013,0.011,0.01,0.01,0.01,0.012,0.007*
2017.09,0.027,0.017,0.017*,0.022,0.015,0.016,0.017,0.02,0.025,0.013*,0.016,0.014,0.013,0.012,0.013,0.016,0.008
2017.10,0.027,0.016,0.018*,0.022,0.017,0.018,0.016,0.022,0.025,0.015,0.016,0.015,0.015,0.012,0.014,0.014,0.007
2017.11,0.033,0.025,0.028,0.026,0.026,0.023,0.028,0.021,0.031,0.022,0.023,0.017,0.018,0.018,0.019,0.024,0.011
2017.12,0.034,0.023,0.028,0.031,0.024,0.024,0.025,0.025,0.032,0.023,0.025,0.019,0.018,0.017,0.019,0.023,0.01
2018.01,0.035,0.022,0.027,0.029,0.024,0.026,0.024,0.028,0.033,0.023,0.029,0.022,0.019,0.016,0.018,0.022,0.011
2018.02,0.034,0.022,0.025,0.027,0.024,0.028,0.024,0.025,0.031,0.02,0.025,0.02,0.018,0.017,0.019,0.023,0.012
2018.03,0.033,0.021,0.022,0.029,0.019,0.022,0.023,0.019,0.028,0.018,0.02,0.016,0.016,0.015,0.016,0.02,0.012
2018.04,0.031,0.019,0.017,0.027,0.016,0.017,0.021,0.015,0.025,0.014,0.017,0.014,0.014,0.013,0.013,0.018,0.01
2018.05,0.025,0.018,0.013,0.023,0.013,0.014,0.019,0.013,0.021,0.013,0.014,0.011,0.011,0.011,0.012,0.016,0.009
2018.06,0.024,0.019,0.013,0.022,0.011,0.014,0.02,0.014,0.019,0.012,0.015,0.01,0.01,0.011,0.011,0.016,0.008
2018.07,0.019,0.016,0.01,0.017,0.009,0.011,0.017,0.011,0.015,0.01,0.016,0.008,0.008,0.008,0.01,0.013,0.006
2018.08,0.017,0.012,0.01,0.016,0.008,0.011,0.013,0.008,0.014,0.01,0.016,0.009,0.007,0.008,0.01,0.012,0.006
2018.09,0.019,0.014,0.014,0.019,0.013,0.012,0.013,0.012,0.017,0.01,0.017,0.011,0.009,0.01,0.012,0.012,0.007
2018.10,0.028,0.019,0.021,0.026,0.019,0.02,0.018,0.021,0.025,0.015,0.021,0.016,0.013,0.013,0.015,0.017,0.009
2018.11,0.039,0.027,0.033,0.035,0.03,0.03,0.027,0.031,0.036,0.022,0.029,0.023,0.019,0.02,0.022,0.027,0.013
2018.12,0.035,0.023,0.029,0.03,0.024,0.028,0.022,0.026,0.032,0.02,0.027,0.021,0.017,0.016,0.02,0.022,0.01
2019.01,0.039,0.024,0.029,0.032,0.025,0.029,0.024,0.024,0.036,0.02,0.029,0.022,0.018,0.015,0.02,0.021,0.012
2019.02,0.036,0.022,0.026,0.029,0.02,0.027,0.022,0.021,0.031,0.015,0.026,0.019,0.015,0.015,0.017,0.019,0.011
2019.03,0.034,0.02,0.021,0.028,0.022,0.023,0.022,0.022,0.028,0.014,0.022,0.017,0.014,0.013,0.016,0.018,0.012
2019.04,0.029,0.019,0.017,0.026,0.019,0.018,0.021,0.018,0.024,0.011,0.017,0.014,0.013,0.012,0.014,0.016,0.01
2019.05,0.028,0.021,0.016,0.023,0.017,0.017,0.024,0.018,0.022,0.01,0.016,0.012,0.012,0.011,0.014,0.016,0.01
2019.06,0.02,0.016,0.013,0.017,0.014,0.013,0.019,0.015,0.017,0.008,0.013,0.01,0.009,0.009,0.011,0.014,0.008
2019.07,0.018,0.015,0.011,0.015,0.011,0.011,0.016,0.012,0.014,0.007,0.01,0.008,0.007,0.007,0.009,0.012,0.006
2019.08,0.018,0.014,0.012,0.015,0.011,0.011,0.014,0.013,0.015,0.007,0.011,0.008,0.008,0.007,0.009,0.012,0.007
2019.09,0.021,0.015,0.013,0.021,0.012,0.013,0.015,0.015,0.018,0.007,0.012,0.01,0.009,0.008,0.009,0.012,0.007
2019.10,0.025,0.017,0.017,0.023,0.017,0.018,0.016,0.019,0.022,0.009,0.016,0.013,0.012,0.009,0.011,0.014,0.008
2019.11,0.034,0.023,0.026,0.031,0.023,0.025,0.022,0.026,0.03,0.015,0.023,0.017,0.016,0.013,0.016,0.02,0.009
2019.12,0.035,0.026,0.03,0.031,0.025,0.028,0.025,0.029,0.031,0.017,0.025,0.018,0.016,0.015,0.017,0.023,0.01
