,Unnamed: 0,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
0,2017.01,0.005,0.005,0.005,0.006,0.003,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.005,0.005,0.006,0.004,0.002
1,2017.02,0.005,0.005,0.004,0.006,0.003,0.004,0.005,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.005,0.004,0.002
2,2017.03,0.005,0.005,0.004,0.007,0.003,0.004,0.005,0.005,0.006,0.004,0.004,0.006,0.005,0.006,0.005,0.005,0.002
3,2017.04,0.005,0.006,0.003,0.006,0.002,0.003,0.007,0.004,0.005,0.003,0.003,0.004,0.004,0.006,0.004,0.005,0.003
4,2017.05,0.005,0.006,0.003,0.006,0.003,0.003,0.008,0.004,0.005,0.003,0.003,0.004,0.004,0.006,0.004,0.006,0.003
5,2017.06,0.004,0.006,0.003,0.005,0.002,0.002,0.008,0.004,0.004,0.002,0.003,0.004,0.004,0.006,0.004,0.005,0.003
6,2017.07,0.004,0.005,0.002,0.005,0.002,0.002,0.009,0.002,0.004,0.001,0.002,0.002,0.003,0.005,0.004,0.005,0.002
7,2017.08,0.004,0.004,0.002,0.004,0.002,0.002,0.006,0.002,0.003,0.002,0.003,0.003,0.004,0.005,0.004,0.004,0.002*
8,2017.09,0.004,0.004,0.002*,0.005,0.002,0.002,0.005,0.002,0.004,0.002*,0.003,0.003,0.003,0.005,0.004,0.004,0.002
9,2017.1,0.004,0.004,0.002*,0.004,0.002,0.002,0.004,0.002,0.004,0.003,0.003,0.003,0.003,0.005,0.004,0.003,0.001
10,2017.11,0.005,0.004,0.004,0.005,0.003,0.003,0.004,0.002,0.004,0.004,0.003,0.003,0.004,0.005,0.004,0.004,0.001
11,2017.12,0.005,0.004,0.004,0.006,0.003,0.003,0.004,0.003,0.005,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.001
12,2018.01,0.006,0.004,0.004,0.006,0.003,0.003,0.004,0.003,0.005,0.004,0.005,0.004,0.004,0.005,0.004,0.004,0.002
13,2018.02,0.005,0.005,0.004,0.006,0.003,0.004,0.005,0.003,0.005,0.004,0.005,0.005,0.004,0.005,0.005,0.004,0.003
14,2018.03,0.005,0.005,0.003,0.005,0.002,0.002,0.006,0.002,0.004,0.003,0.004,0.003,0.004,0.005,0.004,0.004,0.003
15,2018.04,0.004,0.005,0.003,0.005,0.002,0.002,0.007,0.003,0.004,0.002,0.003,0.004,0.004,0.005,0.004,0.004,0.003
16,2018.05,0.004,0.006,0.002,0.004,0.002,0.002,0.007,0.003,0.004,0.002,0.003,0.003,0.004,0.005,0.004,0.004,0.003
17,2018.06,0.004,0.006,0.002,0.005,0.002,0.002,0.008,0.003,0.004,0.002,0.003,0.004,0.004,0.006,0.004,0.005,0.003
18,2018.07,0.004,0.007,0.002,0.004,0.003,0.002,0.009,0.002,0.003,0.002,0.003,0.004,0.003,0.005,0.004,0.005,0.003
19,2018.08,0.004,0.005,0.002,0.004,0.003,0.002,0.006,0.002,0.003,0.002,0.003,0.004,0.003,0.005,0.003,0.004,0.003
20,2018.09,0.003,0.004,0.002,0.004,0.002,0.002,0.004,0.002,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002
21,2018.1,0.004,0.004,0.002,0.004,0.003,0.002,0.004,0.002,0.003,0.002*,0.003,0.003,0.004,0.004,0.003,0.003,0.002
22,2018.11,0.005,0.004,0.003,0.005,0.003,0.003,0.004,0.003,0.004,0.003,0.004,0.004,0.004,0.005,0.004,0.004,0.002
23,2018.12,0.005,0.004,0.004,0.005,0.003,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.005,0.004,0.004,0.002
24,2019.01,0.005,0.005,0.004,0.006,0.003,0.004,0.004,0.004,0.005,0.004,0.005,0.005,0.004,0.005,0.004,0.004,0.002
25,2019.02,0.005,0.004,0.003,0.006,0.003,0.003,0.004,0.004,0.004,0.003,0.004,0.005,0.004,0.005,0.004,0.004,0.002
26,2019.03,0.005,0.004,0.003,0.005,0.002,0.003,0.005,0.003,0.004,0.003,0.004,0.004,0.004,0.004,0.003,0.004,0.002
27,2019.04,0.004,0.005,0.003,0.005,0.002,0.002,0.006,0.003,0.004,0.002,0.003,0.004,0.004,0.004,0.003,0.004,0.003
28,2019.05,0.005,0.006,0.003,0.006,0.003,0.003,0.007,0.004,0.004,0.002,0.003,0.004,0.004,0.005,0.004,0.004,0.003
