,Total J411,Seoul J411,Busan J411,Incheon J411,Daegu J411,Gwangju J411,Daejeon J411,Ulsan J411,Gyeonggi J411,Gangwon J411,Choongbuk J411,Choongnam J411,Jeonbuk J411,Jeonnam J411,Gyeongbuk J411,Gyeongnam J411,Jeju J411,Sejong J411,Total J180,Seoul J180,Busan J180,Incheon J180,Daegu J180,Gwangju J180,Daejeon J180,Ulsan J180,Gyeonggi J180,Gangwon J180,Choongbuk J180,Choongnam J180,Jeonbuk J180,Jeonnam J180,Gyeongbuk J180,Gyeongnam J180,Jeju J180,Sejong J180,Total I693,Seoul I693,Busan I693,Incheon I693,Daegu I693,Gwangju I693,Daejeon I693,Ulsan I693,Gyeonggi I693,Gangwon I693,Choongbuk I693,Choongnam I693,Jeonbuk I693,Jeonnam I693,Gyeongbuk I693,Gyeongnam I693,Jeju I693,Sejong I693,Total I109,Seoul I109,Busan I109,Incheon I109,Daegu I109,Gwangju I109,Daejeon I109,Ulsan I109,Gyeonggi I109,Gangwon I109,Choongbuk I109,Choongnam I109,Jeonbuk I109,Jeonnam I109,Gyeongbuk I109,Gyeongnam I109,Jeju I109,Sejong I109,Total J340,Seoul J340,Busan J340,Incheon J340,Daegu J340,Gwangju J340,Daejeon J340,Ulsan J340,Gyeonggi J340,Gangwon J340,Choongbuk J340,Choongnam J340,Jeonbuk J340,Jeonnam J340,Gyeongbuk J340,Gyeongnam J340,Jeju J340,Sejong J340,Total I269,Seoul I269,Busan I269,Incheon I269,Daegu I269,Gwangju I269,Daejeon I269,Ulsan I269,Gyeonggi I269,Gangwon I269,Choongbuk I269,Choongnam I269,Jeonbuk I269,Jeonnam I269,Gyeongbuk I269,Gyeongnam I269,Jeju I269,Sejong I269
2020.01 ,23217,2699,1346,1609,1014,320,842,516,5190,1521,958,1400,405,2079,1583,1358,376,2,46356,7435,1964,1463,2062,2320,2672,1188,11029,1326,1289,2066,3211,1913,1871,3371,995,236,9140,656,1038,341,543,358,526,95,1281,162,697,306,906,705,915,563,38,10,3317592,570255,218483,187937,165411,83737,98397,66236,749278,125112,122442,163887,143769,149925,205698,216543,40990,15360,41411,9135,2372,2018,1690,1292,1614,811,10562,655,1262,585,2880,3043,1058,1632,607,214,4300,1135,366,186,315,175,130,92,768,153,162,98,132,102,200,245,68,-
2020.02 ,15506,1706,835,826,663,212,607,395,3921,913,629,859,376,1312,1173,843,235,2,27694,4353,1202,771,1507,1324,1789,815,6011,663,780,1199,1980,1201,1032,2397,534,150,8432,617,879,324,526,368,487,103,1199,126,544,343,824,659,820,565,43,6,3236542,549626,212523,182977,161319,81349,95558,65923,730269,121517,119882,162570,141152,146427,202936,213038,39259,15213,29685,6352,1879,1560,1244,1029,1283,625,7481,503,807,472,1782,1912,796,1171,603,193,3933,985,365,169,268,164,129,81,748,139,147,91,133,87,165,220,59,-
2020.03 ,9546,1250,566,530,376,165,451,257,2308,531,329,460,252,876,622,418,152,3,15289,2455,722,448,715,728,1035,471,3184,364,302,797,1269,676,446,1305,279,98,8599,582,941,305,507,374,489,88,1255,141,569,323,883,701,857,542,34,11,3276345,560586,214787,186384,158457,84021,96306,64318,743868,124005,120364,162585,146251,150637,200210,212700,41132,15101,22362,4687,1345,1260,771,1035,888,436,5821,442,512,424,1462,1219,569,942,431,130,4071,1048,387,182,272,189,114,72,756,148,107,86,154,106,171,230,66,1
2020.04 ,7199,978,413,397,243,131,284,185,1851,402,245,345,218,617,466,315,105,4,10661,1569,511,277,540,457,817,304,2104,218,218,580,1082,500,282,860,288,59,8346,580,913,305,483,336,492,90,1136,132,601,317,871,650,852,540,42,8,3229419,550439,212384,183011,158517,81906,94708,64086,730145,122256,119010,161230,142680,147032,199805,211489,40411,15161,22228,4500,1401,1291,886,986,875,463,5564,414,531,491,1375,1184,676,992,490,125,4256,1114,370,194,319,177,135,89,774,155,135,84,143,94,188,257,47,1
2020.05 ,6153,975,312,394,194,94,272,154,1442,385,224,319,190,478,359,252,107,2,10973,1442,506,327,404,520,872,359,2529,196,230,506,1064,516,277,919,265,44,8534,629,960,273,500,354,519,96,1196,116,619,311,871,678,829,536,42,8,3315804,564718,216411,188374,163242,83504,97759,66191,754176,125129,122209,165866,145615,150799,204364,216114,41079,15665,21194,4390,1377,1252,846,840,844,392,5505,347,453,412,1343,1153,624,863,447,119,4044,1068,370,180,293,172,113,61,710,162,120,103,149,97,185,232,51,2
2020.06 ,5690,967,274,316,147,87,252,187,1270,301,204,277,219,480,399,193,116,2,11825,1584,694,331,579,521,951,405,2540,198,256,555,1002,483,307,1081,312,31,8534,582,1000,291,505,241,559,89,1210,129,638,355,907,666,788,518,51,9,3334560,573288,217792,187953,164503,84471,97809,66528,756109,126168,122514,166407,146256,151391,206172,215997,41198,15541,18410,3775,1274,1111,822,702,655,342,4712,354,337,327,1218,856,572,897,347,114,4391,1116,373,209,306,198,116,80,826,184,139,98,167,111,183,247,57,2
2020.07 ,6061,863,231,330,180,64,199,302,1779,301,169,256,179,433,476,218,80,1,10937,1516,591,282,633,358,740,388,2301,277,273,535,919,527,317,928,326,30,8460,615,970,293,483,205,554,74,1230,125,728,337,901,672,717,500,46,11,3352282,573921,218039,189490,165548,84463,98010,67186,762385,125817,123135,167597,147298,152147,207106,218231,41127,16005,16952,3457,1079,1067,735,564,573,337,4410,320,347,313,1076,955,496,731,413,87,4411,1175,381,211,330,169,115,84,807,170,132,104,140,113,202,240,55,5
2020.08 ,5349,851,211,293,173,62,197,287,1591,229,168,206,134,349,334,194,68,2,9290,1252,514,243,505,327,760,297,1835,247,234,431,946,396,297,753,241,19,8238,614,888,305,461,232,549,71,1048,107,787,435,875,646,727,440,48,7,3248885,550965,212761,183704,161430,81935,95236,64443,738096,121845,120357,162915,143670,147867,201298,211732,40136,15352,15274,3173,1039,864,683,615,527,290,3602,313,326,284,1155,824,453,661,385,86,4083,1043,376,181,293,162,103,76,759,138,120,97,154,104,178,252,58,9
2020.09 ,6207,954,347,358,200,75,270,302,1437,314,195,322,210,487,419,204,111,2,9145,1332,512,249,579,295,818,309,1687,218,180,427,995,447,285,619,182,19,8563,630,975,276,489,222,545,88,1209,109,795,367,910,656,746,490,51,7,3394448,582139,218981,192610,167848,85793,99764,67663,775460,127430,124142,168873,149182,152361,208773,220859,41798,15930,22344,4552,1375,1425,1022,960,782,481,6039,343,464,364,1439,1043,669,821,472,103,4240,1090,378,198,314,164,104,75,807,165,117,96,131,106,175,267,66,8
2020.10 ,6273,991,400,379,215,86,244,260,1334,327,197,339,173,513,447,248,117,3,11033,1675,516,260,717,417,898,381,2051,235,235,452,1198,472,317,963,228,21,8286,593,924,277,434,212,577,80,1121,94,908,359,860,633,697,462,49,8,3247206,553741,210670,184293,160506,82136,95385,64736,746691,121448,118745,160039,142394,145754,199983,210402,39940,15375,25186,4744,1589,1594,1161,1000,843,765,6514,410,469,472,1724,1422,748,1025,559,155,4255,1055,401,209,334,187,120,85,756,164,122,84,156,99,193,240,59,12
