,I109,I269,I693,J180,J340
2020.01,3887467,16259,41863,107264,56948
2020.02,3724489,12679,37541,65088,41924
2020.03,3796250,13983,40037,38928,31851
2020.04,3720591,13779,37155,27048,31519
2020.05,3843873,13373,37905,29113,30452
2020.06,3895894,13832,36914,31210,26451
2020.07,3923646,15102,32956,28993,24056
2020.08,3734263,14276,32184,25025,21306
2020.09,3988882,14407,31612,24728,31345
2020.10,3719846,14828,32049,28360,34447
2020.11,3739779,14302,30981,38910,37548
2020.12,4128465,13689,31415,29447,36056
2021.01,3716710,15884,29101,23128,29814
2021.02,3581242,12909,26801,20480,26742
2021.03,4148504,15473,30065,28586,32910
2021.04,3987836,14544,28785,35781,38127
2021.05,3990754,14466,29636,34640,29516
2021.06,4036484,15052,28733,31500,24846
2021.07,4056799,14693,29880,24319,22118
2021.08,3996779,14981,28793,18423,20722
2021.09,3930174,14250,27533,25042,26653
2021.10,3970946,15444,27752,45115,34189
2021.11,4011523,16115,26910,49773,43554
2021.12,4311522,14852,29354,42611,40144
2022.01,4023980,17288,28061,60308,38914
2022.02,3695656,14294,22828,36874,34523
2022.03,4116558,14806,24357,30181,27025
2022.04,3960086,14966,23346,30581,28532
2022.05,4082070,14750,24491,32697,30646
2022.06,3954136,13574,24937,37740,23832
2022.07,3959763,14159,25484,38427,22799
2022.08,4052987,14427,25748,33092,21801
2022.09,3964402,14766,24231,58996,27912
2022.10,3970169,14103,25521,73247,35621
2022.11,3953113,15692,24852,63180,38127
2022.12,4184837,13989,24841,57300,44794
