,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2020.01,0.7,0.4,0.7,0.7,0.6,0.5,0.5,0.7,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4
2020.02,0.6,0.4,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.4
2020.03,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
2020.04,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3
2020.05,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.5,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.3
2020.06,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3
2020.07,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.2
2020.08,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.2
2020.09,0.4,0.4,0.3,0.4,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3
2020.10,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3
2020.11,0.6,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.3
2020.12,0.6,0.4,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.3
2021.01,0.6,0.4,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.3
2021.02,0.6,0.4,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.3
2021.03,0.5,0.4,0.4,0.6,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3
2021.04,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3
2021.05,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3
2021.06,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3
2021.07,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2
2021.08,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.2
2021.09,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.2
2021.10,0.4,0.3,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3
2021.11,0.6,0.4,0.4,0.6,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.3
2021.12,0.6,0.4,0.5,0.6,0.6,0.6,0.4,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.3
2022.01,0.6,0.4,0.5,0.6,0.5,0.6,0.4,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.3
2022.02,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.3
2022.03,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.3
2022.04,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.3
2022.05,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.2
2022.06,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2
2022.07,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.2
2022.08,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3
2022.09,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2
2022.10,0.4,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.2
2022.11,0.5,0.3,0.4,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.3
2022.12,0.5,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3
