,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2020.01,42,32,37,42,36,41,30,47,47,34,46,45,40,31,34,29,31
2020.02,41,34,38,37,32,38,31,43,44,36,42,44,36,31,35,32,34
2020.03,45,33,38,41,35,40,34,47,49,37,43,48,41,31,36,31,35
2020.04,44,36,39,39,38,41,36,44,47,39,43,45,41,34,38,33,41
2020.05,35,32,38,31,31,32,36,34,38,29,33,35,34,29,33,32,36
2020.06,36,27,35,32,31,34,32,37,41,35,36,35,36,26,32,29,27
2020.07,21,18,22,21,15,16,20,17,23,17,18,22,18,17,18,20,20
2020.08,23,31,25,24,22,20,28,20,24,19,21,24,22,28,23,29,29
2020.09,19,24,25,20,21,21,25,20,22,18,22,24,23,22,22,24,26
2020.10,33,30,33,34,31,33,30,35,38,28,36,39,35,28,31,29,31
2020.11,42,31,40,39,32,37,31,40,45,34*,41,42,36,29,36,30,28
2020.12,42,33,38,39,33,38,30,44,46,36,44,42,36,28,36,30,24
2021.01,38,36,40,37,37,39,34,45,42,35,43,45,40,34,38,33,31
2021.02,48,37,41,46,40,42,35,47,52,39,46,52,42,35,40,33,34
2021.03,67,60,59,69,65,63,55,67,72,51,62,79,75,64,56,53,72
2021.04,42,37,42,42,39,41,37,42,46,38,41,46,43,34,42,34,36
2021.05,61,36,41,59,50,56,35,61,64,47,53,63,56,46,43,36,42
2021.06,33,26,35,36,29,31,28,31,37,24,32,34,36,27,31,27,25
2021.07,24,18,19,29,16,16,17,20,26,18,19,23,20,19,21,20,19
2021.08,22,19,21,22,17,18*,20,21,25,19,21,23,20,20,23,20,17
2021.09,15,17,18,16,15,15,16,16,17,13,16,18,18,17,18,17,20
2021.10,27,23,26,28,25,27,22,29,31,19,30,32,31,24,25,23,24
2021.11,45,34,40,44,34,38,32,44,48,34,44,43,40,33,37,31,36
2021.12,39,31,38,39,34,40,29,43,41,30,40,42,38,31,34,28,28
2022.01,43,31,37,42,32,45,29,47,46,36,44,45,39,31,34,29,25
2022.02,40,30,35,38,34,40,29,43,42,34,41,43,39,32,34,28,29
2022.03,41,38,42,42,38,44,39,46,46,37,46,46,43,35,43,34,40
2022.04,45,32,36,44,34,39,34,40,47,36,40,44,41,31,36,29,31
2022.05,33,31,33,32,29,31,34,31,35,29,34,34,34,29,33,29,29
2022.06,22,19,22,21,20,21,21,22,23,20,23,22,23,20,23,19,21
2022.07,25,20,20,26,18,20,21,24,25,18,23,25,23,20,20,21,20
2022.08,20,19,18,21,16,15,23,18,20,16,17,19,18,17,18,19,18
2022.09,22,20,20,26,21,19,24,21,24,16,20,25,25,21,21,20,28
2022.10,25,21,24,30,25,24,25,28,29,17,26,33,31,21,24,21,26
2022.11,39,33,41,41,34,39,35,45,44,31,44,46,43,30,39,31,30
2022.12,38,30,35,38,33,35,31,40,39,32,40,38,38,29,33,28,28
