,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2020.01,0.004,0.004,0.003,0.005,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.002
2020.02,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.001
2020.03,0.003,0.003,0.003,0.004,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.001
2020.04,0.003,0.003,0.002,0.004,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.001
2020.05,0.003,0.004,0.002,0.004,0.002,0.002,0.005,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001
2020.06,0.003,0.004,0.002,0.003,0.002,0.002,0.006,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.001
2020.07,0.002,0.003,0.002,0.003,0.002,0.002,0.004,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001
2020.08,0.003,0.004,0.002,0.003,0.003,0.002,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001
2020.09,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001
2020.10,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.004,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.001
2020.11,0.003,0.004,0.002,0.004,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.001
2020.12,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.001
2021.01,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.001
2021.02,0.003,0.004,0.002,0.004,0.002,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.002
2021.03,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.001
2021.04,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.003,0.002,0.002,0.004,0.003,0.003,0.003,0.003,0.002
2021.05,0.003,0.002,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.004,0.003,0.003,0.003,0.003,0.001
2021.06,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.004,0.003,0.003,0.003,0.003,0.001
2021.07,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.002,0.003,0.003,0.003,0.001
2021.08,0.003,0.003,0.001,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.002,0.003,0.003,0.003,0.001
2021.09,0.003,0.003,0.001,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.001
2021.10,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.002,0.003,0.003,0.003,0.001
2021.11,0.003,0.003,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.002
2021.12,0.003,0.003,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.001
2022.01,0.004,0.003,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.001
2022.02,0.003,0.003,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.001
2022.03,0.003,0.003,0.002,0.004,0.003,0.004,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.002
2022.04,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.001
2022.05,0.003,0.003,0.002,0.003,0.003,0.004,0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.002
2022.06,0.002,0.003,0.001,0.003,0.002,0.003,0.004,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.001
2022.07,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.001
2022.08,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.001
2022.09,0.003,0.003,0.001,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.001
2022.10,0.003,0.003,0.001,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.001
2022.11,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.001
2022.12,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.001
