,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2017.01,0.005,0.005,0.005,0.006,0.003,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.005,0.005,0.006,0.004,0.002
2017.02,0.005,0.005,0.004,0.006,0.003,0.004,0.005,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.005,0.004,0.002
2017.03,0.005,0.005,0.004,0.007,0.003,0.004,0.005,0.005,0.006,0.004,0.004,0.006,0.005,0.006,0.005,0.005,0.002
2017.04,0.005,0.006,0.003,0.006,0.002,0.003,0.007,0.004,0.005,0.003,0.003,0.004,0.004,0.006,0.004,0.005,0.003
2017.05,0.005,0.006,0.003,0.006,0.003,0.003,0.008,0.004,0.005,0.003,0.003,0.004,0.004,0.006,0.004,0.006,0.003
2017.06,0.004,0.006,0.003,0.005,0.002,0.002,0.008,0.004,0.004,0.002,0.003,0.004,0.004,0.006,0.004,0.005,0.003
2017.07,0.004,0.005,0.002,0.005,0.002,0.002,0.009,0.002,0.004,0.001,0.002,0.002,0.003,0.005,0.004,0.005,0.002
2017.08,0.004,0.004,0.002,0.004,0.002,0.002,0.006,0.002,0.003,0.002,0.003,0.003,0.004,0.005,0.004,0.004,0.002*
2017.09,0.004,0.004,0.002*,0.005,0.002,0.002,0.005,0.002,0.004,0.002*,0.003,0.003,0.003,0.005,0.004,0.004,0.002
2017.10,0.004,0.004,0.002*,0.004,0.002,0.002,0.004,0.002,0.004,0.003,0.003,0.003,0.003,0.005,0.004,0.003,0.001
2017.11,0.005,0.004,0.004,0.005,0.003,0.003,0.004,0.002,0.004,0.004,0.003,0.003,0.004,0.005,0.004,0.004,0.001
2017.12,0.005,0.004,0.004,0.006,0.003,0.003,0.004,0.003,0.005,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.001
2018.01,0.006,0.004,0.004,0.006,0.003,0.003,0.004,0.003,0.005,0.004,0.005,0.004,0.004,0.005,0.004,0.004,0.002
2018.02,0.005,0.005,0.004,0.006,0.003,0.004,0.005,0.003,0.005,0.004,0.005,0.005,0.004,0.005,0.005,0.004,0.003
2018.03,0.005,0.005,0.003,0.005,0.002,0.002,0.006,0.002,0.004,0.003,0.004,0.003,0.004,0.005,0.004,0.004,0.003
2018.04,0.004,0.005,0.003,0.005,0.002,0.002,0.007,0.003,0.004,0.002,0.003,0.004,0.004,0.005,0.004,0.004,0.003
2018.05,0.004,0.006,0.002,0.004,0.002,0.002,0.007,0.003,0.004,0.002,0.003,0.003,0.004,0.005,0.004,0.004,0.003
2018.06,0.004,0.006,0.002,0.005,0.002,0.002,0.008,0.003,0.004,0.002,0.003,0.004,0.004,0.006,0.004,0.005,0.003
2018.07,0.004,0.007,0.002,0.004,0.003,0.002,0.009,0.002,0.003,0.002,0.003,0.004,0.003,0.005,0.004,0.005,0.003
2018.08,0.004,0.005,0.002,0.004,0.003,0.002,0.006,0.002,0.003,0.002,0.003,0.004,0.003,0.005,0.003,0.004,0.003
2018.09,0.003,0.004,0.002,0.004,0.002,0.002,0.004,0.002,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002
2018.10,0.004,0.004,0.002,0.004,0.003,0.002,0.004,0.002,0.003,0.002*,0.003,0.003,0.004,0.004,0.003,0.003,0.002
2018.11,0.005,0.004,0.003,0.005,0.003,0.003,0.004,0.003,0.004,0.003,0.004,0.004,0.004,0.005,0.004,0.004,0.002
2018.12,0.005,0.004,0.004,0.005,0.003,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.005,0.004,0.004,0.002
2019.01,0.005,0.005,0.004,0.006,0.003,0.004,0.004,0.004,0.005,0.004,0.005,0.005,0.004,0.005,0.004,0.004,0.002
2019.02,0.005,0.004,0.003,0.006,0.003,0.003,0.004,0.004,0.004,0.003,0.004,0.005,0.004,0.005,0.004,0.004,0.002
2019.03,0.005,0.004,0.003,0.005,0.002,0.003,0.005,0.003,0.004,0.003,0.004,0.004,0.004,0.004,0.003,0.004,0.002
2019.04,0.004,0.005,0.003,0.005,0.002,0.002,0.006,0.003,0.004,0.002,0.003,0.004,0.004,0.004,0.003,0.004,0.003
2019.05,0.005,0.006,0.003,0.006,0.003,0.003,0.007,0.004,0.004,0.002,0.003,0.004,0.004,0.005,0.004,0.004,0.003
2019.06,0.004,0.006,0.002,0.004,0.002,0.002,0.007,0.003,0.004,0.002,0.003,0.004,0.003,0.004,0.004,0.004,0.002
2019.07,0.004,0.005,0.002,0.004,0.002,0.002,0.006,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002
2019.08,0.004,0.005,0.002,0.004,0.003,0.002,0.006,0.003,0.003,0.002,0.003,0.004,0.003,0.004,0.004,0.003,0.002
2019.09,0.003,0.004,0.002,0.004,0.003,0.002,0.005,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002
2019.10,0.003,0.004,0.002,0.004,0.003,0.002,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002
2019.11,0.004,0.004,0.003,0.005,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.002
2019.12,0.004,0.004,0.004,0.005,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.002
