"측정소 코드","측정소 이름","측정소 주소","표시 순서","공인코드"
"101","종로구","서울 종로구 종로35가길 19 종로5,6가 동 주민센터","1","111123"
"102","중구","서울 중구 덕수궁길 15 시청서소문별관 3동","2","111121"
"103","용산구","서울 용산구 한남대로 136 서울특별시중부기술교육원","3","111131"
"104","은평구","서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 )","4","111181"
"105","서대문구","서울 서대문구 세검정로4길 32(홍제3동 주민센터) ","5","111191"
"106","마포구","서울 마포구 포은로 6길 10 망원1동주민센터 옥상","6","111201"
"107","성동구","서울 성동구 뚝섬로3길 18 성수1가1동주민센터","7","111142"
"108","광진구","서울특별시 광진구 광나루로 571 구의 아리수정수센터","8","111141"
"109","동대문구","서울 동대문구 천호대로13길 43 용두초등학교","9","111152"
"110","중랑구","서울 중랑구 용마산로 369 건강가정지원센터","10","111151"
"111","성북구","서울 성북구 삼양로2길 70 길음2동 주민센터","11","111161"
"112","강북구","서울 강북구 삼양로 139길 49 우이동 주민센터","12","111291"
"113","도봉구","서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집","13","111171"
"114","노원구","서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소)","14","111311"
"115","양천구","서울 양천구 중앙로52길 56 신정4동 문화센터","15","111301"
"116","강서구","서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관","16","111212"
"117","구로구","서울 구로구 가마산로 27길 45 구로고등학교","17","111221"
"118","금천구","서울 금천구 금하로21길 20 시흥5동 주민센터","18","111281"
"119","영등포구","서울특별시 영등포구 당산로 123 영등포구청 (당산동3가)","19","111231"
"120","동작구","서울 동작구 사당로16아길 6 사당4동 주민센터","20","111241"
"121","관악구","서울 관악구 신림동길 14 신림동 주민센터","21","111251"
"122","서초구","서울 서초구 신반포로15길 16 반포 2동 주민센터","22","111262"
"123","강남구","서울 강남구 학동로 426 강남구청 별관 1동","23","111261"
"124","송파구","서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동)","24","111273"
"125","강동구","서울 강동구 구천면로 42길 59 천호1동 주민센터","25","111274"
